S1,S2,S3,S4,S5,S6,S7,S8
0,0.351174,0.362135,0.358452,0.302901,0.339524,0.376113,0.245927
0.44142,0,0.519355,0.57615,0.490205,0.291269,0.558154,0.412638
0.449764,0.434635,0,0.441353,0.50982,0.296899,0.46394,0.258526
0.421574,0.548183,0.526951,0,0.540403,0.324598,0.539524,0.353862
0.405514,0.509952,0.563903,0.529219,0,0.288519,0.513213,0.2672
0.304403,0.31399,0.269348,0.367998,0.334603,0,0.338199,0.290651
0.448018,0.486487,0.487376,0.522956,0.458057,0.356972,0,0.343466
0.262728,0.473543,0.328871,0.422482,0.333977,0.297462,0.399714,0
