S1,S2,S3,S4,S5,S6,S7,S8
0,0.412762,0.443909,0.430247,0.361974,0.388952,0.462358,0.269386
0.496665,0,0.568014,0.658987,0.564601,0.337436,0.651249,0.494029
0.485511,0.502444,0,0.51972,0.587311,0.315151,0.543725,0.29002
0.467386,0.630525,0.58254,0,0.6288,0.390965,0.639889,0.418629
0.410905,0.564601,0.602858,0.602614,0,0.322827,0.570581,0.301761
0.349219,0.335093,0.294329,0.416902,0.369783,0,0.392736,0.323612
0.500154,0.582163,0.565905,0.618644,0.544902,0.402141,0,0.388164
0.343756,0.566451,0.350058,0.504774,0.35849,0.376358,0.474792,0
